IDX	상호명	리뷰	점수
879	더글러스치킨	양도 많고 가격도 저렴해요 닭강정 추천	5점
880	더올	"홈페이지에 그림만 보고 주문하기 꺼려졌었는데, 문의드린 샘플까지 직접 보여주셔서 감동했어요~ 이번 저희 가게 개업선물 잘 할수 있었네요~ 감사합니다 대박나세요~ 참 가격도 정말 다른곳보다 훨씬 예뻤어요~ 친절하시궁 ^^"	5점
881	덴트카119	소개받았던 곳이 너무 멀어서 가까운 곳에서 찾다가 알게 되었어요. 금액만 말하는 다른 곳과는 달리 상세하게 어떻게 작업이 되고 문제점 등을 잘 설명하셨어요.  다른 곳보다 저렴하고 시간도 빨라서 반신반의했지요. 결과는 매우 훌륭했습니다.  유리막을 한 뒤라 걱정했는데 부작용도 없었고요.  화려한 작업장도 유들거리는 영업솜씨도 없지만 좋은 작업 솜씨로 결과에...	5점
882	도영손두부	담백하고 맛있어요 조미료 없는 깔끔하고 깊이 있는 두부 전골이 별미에요. 1만원 미만 전요리 하나 정도 있으면 더 좋겠네요 인원이 부족하긴 하겠지만....	4점
883	돈죠	사장님이 친절하세요 ~  고기도 구워주시고 ㅎㅎㅎ 	5점
884	동검식당	"장어는...정말 맛있었음. 하지만 그뿐임. 행주를 주며 직접 식탁을 닦으라고 함. 만약 일회용 천이었으면 코로나 때문이라고 생각했겠지만, 빨아서 재사용 가능한 흔하디 흔한 청록색 천 행주였음... 심지어 바빠보이지도 않았음. 물컵에 물을 부으니 일행들 컵 모두에 기름이 둥둥 떠다녔음. 숯에 불이 붙기도 전이라 기름이 컵에 튈 이유도 없었음. 정수기, 물컵 ..."	2점
885	동남세탁	수선을 정말 잘 하세요~  제가 가본 수선집 세탁소 통틀어 최고예요~ 양장점을 오래하셨다고 하시던데 전문가세요. 추천합니다~^^ 세탁도 물론 잘 해주시고요 	5점
886	동대문엽기떡볶이	응대도 별로 다 별로  	1점
887	동문복사	2층 카드결제 너무 좋아요 	5점
888	동아건재	최근 몇년간 자주 누수되고 탐지도 잘 잡히지 않았는데 동아건재에 맞기니 더이상 문제되지앉게 집수도관공사를 하루만에 깔끔하고 생각보다 저렴하고 친절하게 해주셔서 평점남깁니다^^	5점
889	동춘동신세계공인중개사	친절하고 차분하게 상담해주시고 알아봐주셔서 좋았습니다.	5점
890	동태마을	동태찜은  맛이 그냥 그냥해염. 	3점
891	동해수족관	가격저렴하고요모든상품 다양하군요	5점
892	돼지국밥수제돈까스	"요즘 해장국이 맛이 자극적인데  여긴 옛날 맛입니다.  양평해장국, 방일해장국과 본점과 비교해도 손색이 없네요  여긴 양말고도 곱창도 들어가서 제 입맛에는 더 좋네요 !!"	5점
893	돼지네감자탕	좋아요	4점
894	두리공인중개사	몇군데 돌아보다가 두리부동산에서 친절하게 상담해주셔서 계약까지 하게됐습니다. 제 형편에 맞게 알맞은 좋은 집 구한거같아요.   감사합니다.     	5점
895	드림마트정육	맛있고 아드님이 너무 잘생기셨어요	5점
896	드림부동산	이번에 강화 쪽 토지 알아보려 방문했는데 사장님께서 너무 친절하게 발품팔아서 좋게 구해주셨어요.. 이런거 잘 안남기는데 생각나서 하나 남겨봅니다. 고맙습니다 ^^	5점
897	디지바	싸구려 무한리필 칵테일이 아니라 맛도 좋고 종류도 대박 많습니다!!! 사장님이신지는 모르겠지만 유쾌하시고 신경 잘 써주셔요 ㅎㅎ 안주도 가성비 좋아요 !!!	5점
898	떡쇠와마님	"떡이 맛있어요~~사장님도 친철하시고, 무엇보다 다 보이는 주방이 참 깨끗해 신뢰가 갑니다~~ 종류도 다양하고, 맛있는 떡을 먹고 싶을땐 당하동 떡쇠와 마님..가보세요~~"	5점
899	라보떼발레	"체계적이라는 말이 와닿는 학원이죠. 수업이나 수업후의 관리나 원장님께서 중요시하시는게 무엇인지 눈에 보여요. 우리아이가 친구따라 옮긴 학원이지만, 지금은 라보떼의 전문적인 수업체계와 관리가 무척 맘에 듭니다. 아이친구 엄마들사이에선, '수업잘하는학원'으로 통하죠. 제가 경험해본바로는 이런학원 또 없을정도로 맘에 들어요."	5점
900	라스텔라	"남자들 단체로 와서 운동하고, 놀기는 좋음. 다만, 숙소 청소 상태가 조금 아쉬웠음."	4점
901	라인호프	그냥 다좋음	5점
902	래미안공인중개사	네이버 매물 보고 몇군데 전화하는데 허위매물이랑 미끼매물 정말 많았는데 여기 대표님은 허위매물이 하나도 없어서 너무 좋게 거래 잘했습니다 :)	5점
903	러블리	미용 한두번해본것도 아닌데 여기서 미용하고 온 후로 강아지가 며칠동안 덜덜 떨었어요.	1점
904	럭키공인중개사사무소	최고예요	5점
905	럭키스트라이크	송도에 하나밖에없어서 그런지 불친절의 끝판이네용^^	1점
906	레디액터스	이 학원 선생님들 정말 친절하고 좋아요~~~~~~~	5점
907	레몬공인중개사	깨끗하고 예쁜집 싸게 구해주셔서 너무 너무 감사해요~~^*^	5점
908	렌트카	특히 사장이 씨래기... 휀다 1.5cm 도색까진거 50받아 쳐먹을려다 옥신각신하고 내가 많이 양보해서 기름값 더 넣은거 포함 20에 합의... 특히 어린 얼라들이나 여자들은 여기서 빌리지 마쇼.	1점
909	로얄부동산	참으로 친절하시고 주변환경을 잘설명 해주셔서 싸게  집을 구했어요	5점
910	롯데리아	다른 타매장보다 감튀가 통통하게 나옴 ㅎㅎ	5점
911	류태정우리옷한복	사장님이 친절하고 이쁜 한복을 추천하여 주시네요	5점
912	리츠팰리스웨딩컨벤션	음식 너무 달아요. 주차 1시간 30분 무료 주차도장 필수. 추가시간  30분 천원.	1점
913	리틀크레이지	개존맛탱	5점
914	리폼스토리	최고예요	5점
915	마녀손톱	네일받으러 찾아다니다 오게됬는데 너무 친절하고 카페뺨치는 서비스 아메리????	5점
916	마포생갈비	주인이 마스크를 전혀 안쓰고 음식 있는 앞에서 말해요 ㅠ  위생이 엉망  	1점
917	만두	최고예요	5점
918	만수면사무소	최고예요	5점
919	맘스터치	직원 싸가지없음	1점
920	맛좋은칼국수	친절하세요! 칼국수+수제비2인분 먹었는데 열무김치랑 해서 맛있었어요. 	5점
921	멋진여자	벌써 6년 넘었다죠.한때 연예인지도까지 한 멋진여자카페 사장님. 허스키한 목소리로 손님들의 심금을 울리는 노래를 해드리고 유명가수가 수시로 공연하고  영혼을흔드는가수 마스타 장희의 멋진 노래와 음악을 선물합니다.	5점
922	메가박스인천논현	불친절합니다	1점
923	메이드빈카페	식전에 주는 소면 맛있었고 음식들 괜찮았어요 후식으로 시킨 음료도 잘 먹었습니다	5점
924	멕시칸치킨	직원들 불친절.써비스 최악 .....우웩...	1점
925	면사무소	조금 아쉬워요	2점
926	명가벌떡장어	맛이 최고에요 적극 추천합니다~~	5점
927	명가한방삼계탕	밑에 리뷰들 보시면 알겠지만 일단 사장이 장사하는 기본 자세가 안되있음. 손님한테 욕하고 개취급함. 사람 관상보면 틀린법이 없다는걸 느낌. 맛도 드럽게 없고 한번간이후로 다신안갑니다. 리뷰안보고 간 호갱님들 상대로 많이파세요^^! P.S. 왜 평점이 0점은 안되나요 1점도 주기싫은데	1점
928	명성인테리어	알아본 곳 중에 제일 친절하셨습니다. 평대로 사장님께서 직접 시공해주시고 신경 정말 많이 써주셔서 만족스러웠습니다.	5점
929	명식이네	보통이에요	3점
930	명인불교	최고예요	5점
931	명태조림	최고예요	5점
932	모리에	강화도 쪽 바다보면서 힐링하기 좋은 곳입니다~ 카페가 아기자기하고 참 예뻐요! 사장님도 너무 친절하시고 빈백에 누워있으면 졸음이 솔솔 오는게 근교 온 기분이 나네요~~  근데..아이들이랑 오는 손님들은 케어가 필요합니다.. 빈백 공간이 아주 넓은 편이 아닌데 데크 위에서 뛰고 소리지르면 정말.. 후... 카페가 크지 않으니까 그게 더 잘 느껴지고 진동 소음...	4점
933	모세부동산	"저번주에 아파트 매물보고왔던 사람입니다, 아내랑 같이가서 이리저리 많이 보고 많이 듣고 왔습니다, 정말 친절하게 설명해주시고 신경많이 써주신거 같아 이렇게 댓글하나 남겨드리고 갑니다. 사업번창하세요~!결정되면 연락드리겠습니다."	5점
934	모텔잠짜리	전기보일러.온수탱크용접.수리.AS.문의는 010*2359*1441 영일에너지입니다 	5점
935	모토라드인천	exellent~~@@!!  대표님(미케닉 겸 오너분)의 장인정신이 훌륭합니다. 가벼이 취급하지않는 마인드가 마음에 듭니다.	5점
936	몽블랑모텔	바닷가와 가깝고 주변에 모든걸 주변에서 해결할수 있어 매우 편하게 쉬다옵니다. 영흥도 가시는 분들 한번 들러보세요!! 펜션보다는 훨씬 낫습니다.^^	5점
937	무지개광고	최고예요	5점
938	무진장	여기 좋음 ~	5점
939	미각	친절하세요 무엇보다 음식이 맛있습니다  자주오겠습니다~!^^	5점
940	미건찹쌀떡	좋습니다	5점
941	미노유통	직원들 싸가지 줜~나 없는 양아치들	1점
942	미니스톱영종씨에로	여기 사장 아저씨 뭔가 되게 불친절함.	2점
943	미단시티공인중개사사무소	"이번에 미단시티 쪽에 토지 알아보려고 방문했는데, 정말 친절하게 상담해주시고 매물도 정말 많아서 좋은 땅 구했습니다. 감사합니다."	5점
944	미동인천대태권도	재미있서요ㅋㅋㅋ	5점
945	미락	좋아요	4점
946	미래창호	이런 회사 믿고 일 맡기지 마세요 드러워라  점수는 무슨점수	1점
947	미성일식	별로예요	1점
948	미스터피자	웬만하면 평 이렇게 안하는데 진짜 최악. 맛도 서비스도.	1점
949	미진수산	좋아요	4점
950	미추홀분식	청국장 아주 죽여줘유~~ 구수한 주인장 목소리도 죄고~~^*^	5점
951	미추홀자동차	위치가좋아요. 그리고친절해요	5점
952	미카엘	바다도 가깝고 아주머닏조 친절하시고 간만에 바람 쐬고 와서 너무 좋았어요^^	5점
953	바다낚시아세아	보통이에요	3점
954	바다와들녁	안좋아요..ㅜㅜ	1점
955	바퀴달린그림책	최고예요	5점
956	배우로갑니다	선생님들 정말 재미나게 수업해주시고 많은도움되는듯하네요~~감사드려요	5점
957	뱃나드리식당	최고예요	5점
958	뱅크부동산	내집과 같이 믿음이 가는 부동산 입니다.	5점
959	버무리	떡볶이를 양은냄비에 덜어 다시 끓여주더니 역시나  맛이 없더라구요   딱딱한 떡을 다시 끓여 준거죠  모듬튀김을 시켰는데 오징어는 빼고  고구마만 잔뜩 넣고   양심이...	1점
960	베스트공인중개사	덕분에 좋은집 구해서 정말 감사드려요...고생많으셨습니다.^^	5점
961	베스트웨스턴프리미어인천공항호텔	인천공항바로옆 ㅎ	5점
962	벤츠인력	지하철 생겨서 일다니기 편해요 ^^	5점
963	별미해장국	위생 엉망이네  컵씼는 싱크대서 쓰레기통씻고 음식나오니  고무장갑도  안벗고 그대로  갔다주  고추달랬더니  쓰레기통씻던 그고무장갑 그대로  고추고무장갑으로  갔다주네   매번   쉰밥 줘도 좋은말로  했더니 오늘은 못참겠다 토나오네 진짜	1점
964	병천순대	진짜 우연히 들렸는데 맛났어요	5점
965	보스턴영어	우선 시스템이 체계적인 것 같습니다. 생각보다 광고도 많이 안하는데 원생들이 꾸준히 유지되고 있는 거 보면 입소문이 많이 난 듯 해요.	5점
966	본가풍년집정육식당	돼지1kg시켰는데 고기도 맛있고 가격도 저렴하고  무엇보다도 사장님이 테이블마다 섬세하게 신경 써주시고 부족한거 있는지 물어봐주시고 갖다주시고 그래서 기분좋게 잘 먹었습니다!	5점
967	부광공인중개사	최고예요	5점
968	부동산114	상담한번 받았었는데 여사장님이 인상이 진짜 좋더라구요 그때 감사해가지고 댓글 남기고 갑니다	5점
969	부동산써브	감사합니다 저희는 고객께서 많족하실때 까지 최선을다하여 노력하고있어요 좋게 봐주셔서 감사합니다	5점
970	부뚜막생오리구이	별 하나도 아까움 비위생적 기름기 많고 잡내남 남자사장 불친절 가게에서 냄새남	1점
971	부암식당	1.오픈이 늦어질 거 같으면 미리 말해줬어야지 2.웨이팅 명단은 왜 적음? 우루루 순서없이 들여보내면서 3.후황 고장난 걸 왜 오픈 전에 몰랐을까 4.일단 불친절이 기본옵션임 5.고기 맛도 특별한 거 모르겠던데   진짜 과장된 거짓 맛집 다들 시간 낭비말고 동네 고기집 가십셔	1점
972	부일식당	전화로 영업하는지 확인해 보고 가야 합니다... 영업시간이여도 문 그냥 닫으세요... 헛걸음 했네요...	1점
973	부평알고리즘	토론식 학습이나 신기한 수학 풀이가 좋았어요.ㅋ	5점
974	부평청천파리바게뜨	보통이에요	3점
975	부흥종합설비공사	별로입니다 친절하지 않아요	1점
976	불타는명태조림	매콤 냠냠	5점
977	불판스토리	싸고 맛있으 정말로 	5점
978	뷰티아비스	여기 진짜 별로에요	1점
979	블루스카이	Bravo 	5점
980	블루힐	펜션 주인분께서 친절도가 좋으시고 저녁에 불피워서 캠프파이어도 하면서 예쁜 추억 만들었네요^^	5점
981	뽕뜨락피자	별로임.	1점
982	사과나무김밥	음식 다 맛있습니다!!!	5점
983	사랑미용실	최고예요	5점
984	사랑방	엊그제 친구따라 갔었어요~ 닭볶음탕이 조미료맛 안나고 칼칼한게 제 입맛이었습니다~~~~ 음악도 맘에들고 분위기도 좋았슴돠~~	5점
985	산업공인부동산	"날씨 추운데, 많이 돌아다니시고, 고생 많으셨어요..감기 조심 하시고, 감사합니다!!"	5점
986	삼겹살에막창	이 동네 가성비 삽겹살 막창 최고 맛집	5점
987	삼대족발	돼지 꼬리 짱	5점
988	삼산부동산	친절하고 강화 삼산면에 가장 오래된 토박이 사장님덕에 좋은땅을 소개받아 이쁜 전원주택을 지을수있어서 너무 좋았고 감사합니다~^^ 	5점
989	삼삼종합인테리어	별로에요	1점
990	삼성고시텔	최고예요	5점
991	삼성김밥	김밥 한 줄이라 카드 안 받으신대요	1점
992	삼성라지에터	최고예요	5점
993	삼성인테리어	"정말 많이 고민하고 선택했습니다. 인터넷이으로 전화도 많이 해보고 견적도 많이 받아보고 후회없었습니다. 가격도 가격이였지만, 다른 업체들과는 다르게 정말 믿음이 가게끔 시공 해주시는 모습에 너무 감사했습"	5점
994	삼화정1호점	비쌈	1점
995	삼흥모터스	최악..차체결함으로 인해 리콜해주는 엔진교체 건으로 갔는데 다른거로 돈받아먹으려고 금액 크게 불렀다가 영수증달라니까 절반도 안되는 값으로 적어줌ㅡㅡ 호구로 봤다가 안먹히니 짜증나니까 정비중에 점화코일을 일부러 부셔먹음.  지들이 부셔먹고서는 공임비달라고ㅡㅡ 진짜 짜증남.  결국 정비하면서 벨트셋트도 이상하게 조절해놔서 차에서 이상한 소리남;; 불안함에 떨면...	1점
996	새마음이발관	"슈돌 이동국 선수와 아이들이 다녀간 옛모습 옛가격 그대로 ""이발관"""	5점
997	샤론어린이집	여기가 던밀스가 사는 아파트 라인이요 ? 	5점
998	샵 모텔	금액이 착해요! 그래서 더 만족이되네요. 남자친구랑 다녀왔는데~ 사장님도 친절하시고 편하게 쉬다왔네요 부평쪽에 모텔 다른데 가봤는데 머리카락 나오고... 좀 냄새나고 했는데 여기는 굉장히 청결에 신경쓰셨는지 깨끗해서 기억에 남습니다!!	5점
999	샹웨이	혼밥 할 곳 없을때 그냥 짜장면 곱배기 혼자 시켜 드시면 후회 안 하실듯	5점
1000	서광공인중개사	확실하고 정직한 정보를 중개해주시고 빠르고 편리하게 원하는 정보를 바로바로 얻을수 있어서 너무 좋네요 ^^*	5점
1001	서문김밥	입 안에 넣자마자 살살 녹아버리는 마법의 김밥	5점
1002	서부벽지장판할인매장	절대 비추합니다. 도배 장판 했는데 도배는 울퉁불통 장판은 군데군데 부풀고 하자보수 말하면 연락도 없고 보수하러 와서는 새장판을 누더기로 만들어 놓고... 후회막심	1점
1003	서산밴댕이	느끼한 중국요리로 배를 채운 후 가볍게 입가심하기 좋은 곳. 야채와 양념이 잘 어우러진 상콤 달콤 비릿 고소한 밴댕이무침은 불러오는 배를 잠시 잠재우고 역설적으로 또다른 먹거리를 찾게 해주는 묘수^^	4점
1004	서석네숯불갈비	최고예요	5점
1005	서일석유	여기 자동세차 끝나고 간단히 실내 청소도 해줍니다. 가성비 좋아요.	4점
1006	서해왕해물찜	양 ㄹㅇ 푸짐함 小자에 5.5만원이래서 아니 왜이리 비싸지 했는데 小라 써놓고 서울 大자급을 내줌 	5점
1007	서해이용원	사장님 꼼꼼히 잘 잘라 주세요 감사합니다 	5점
1008	선굼터	갈비탕 양은 무지많으나 누린내도나고 느끼해서 끝까지 다못먹구나왔네요	2점
1009	선창식당	"여기는 풍경도, 음식도, 사장님 인심도 진짜 최고인 곳 님들 한번 가보셈 저번에 낚시대도 빌려주시고 서비스가 무한리필급이욨음 ㅠㅠㅠㅠ"	5점
1010	선창회집	좋아요	4점
1011	선학제과점	보통이에요	3점
1012	섬마을민박	주인 아주머니도 친절하시고 방도 깨끗하고 좋았습니다. 만약 떡바위가시는분은 길을 잘확인하고 가셔야합니다. 길을 새로 만드는중에 가서 그런지 고생좀했어요. 	5점
1013	성원떡볶이	"이사와서 산책하다 발견한 대박집이에욬ㅋㅋ 사장님 너무너무 친절하시고,  여기 컵떡볶이도 팔아요ㅠㅠㅠㅠ대박아닌가요...? 진짜ㅠㅠ이런곳찾아낸 제가 너무너무 기특할만큼 가성비좋고 정감있는 떡볶이집입니다 엥 이런 주택가에 떡볶이집?하실텐데 한번 드셔보시면 배고플때마다 생각날 맛집입니다ㅋㅋㅋ"	5점
1014	세기카센타	전화해봤는데 부품가지고오면 안해준대요 ㅋㅋ	1점
1015	셀프동전노래연습장	마이크에서 쉰내나요 토할뻔	1점
1016	셀프세차장	"버스, 트럭세차가 아주 잘되어 기분이 좋네요!!!    강력하게 추천합니다."	5점
1017	소문난떡볶이	정말정말 맛있어요ㅠ 	5점
1018	소문난순대국왕족발	최고예요	5점
1019	소야민박	저희 3대가족 첫여행을 너무망쳐버려서  기억이남네요 너무지져분해서 분노를감출수없어요~ 저희부모님생각해서 아무소리않하려했는데  주인아주머니께서  들어갈때부터 표정이않좋으셔요~아무튼 참고하시기바랍니다	1점
1020	송도부동산	"주변에서 아파트말고 상가에 투자해보라고 하셔서 고민하다가 연락드렸었는데, 바쁘신것같으셨는데 상담 잘 해주셔서 감사했습니다. 준비 되는대로 한번 방문해보려구요~"	5점
1021	송도센트럴파크호텔	715호였나... 난방 하나도 안돼서 너무 추웠어요.. 그나마 온풍기 가져다주셔서 괜찮았지만 공기가 너무 찼어요ㅠ 뷰는 정말 좋습니다	3점
1022	송도아이티오피스디포	영업시간 미준수 신뢰성 제로	1점
1023	송도파크호텔	난방이 제대로 안되서 춥고 너무 건조해서 잘못잤어요	3점
1024	송성주무용연구소	망설이지 말고 꼭 한번 가 보세요	5점
1025	수라	조금 아쉬워요	2점
1026	수정주유소	여기 만한곳이 없어요	5점
1027	수지동태탕	동태탕 본연의 맛을 즐길수있어요. 글구 울집 바로 뒤에 있음 ㅋ	5점
1028	쉐라톤인천호텔	뷰가 참 좋아요	4점
1029	스마트공인중개사사무소	"일신동 천막창고 40평 임대,***1000/100"	5점
1030	스시마을	믿고 가는 집.. 몇년째 애용중 .. 심지어 집도 먼데 여기 먹을라고 대중교통 이용해서 감 .. 최고	5점
1031	스위티pc방	깔끔함	5점
1032	스윗멜로우	참 아기자기한것이.. 사장님 손길이 구석구석 느껴져요  이런 카페가 있어서 좋군요  주방이 너무 귀여워서 찍어봤는데 이해하주시겠죠	5점
1033	스타네일샵	이사와서 어디로 가야하나 둘러보던중 ~여기가 제일 가까와서 와봤는데 오길 잘한거 같아요아담하고 꼼꼼하게 잘해주시네요	4점
1034	스터디클럽독서실	연중무휴 독서실입니다최상급시설  프리미엄급  독서실임직접방문해보세요^^ 	5점
1035	스테이크하우스199	좋아요	4점
1036	스텔라펜션	너무좋아염^^♥	5점
1037	승진부동산	저번에 ~ 급매 찾고 있던 사람입니다! 바쁘실텐데도 원하는 매물가격에 맞춰서 ....상담해주시고 감사드립니다 ^^ ~ 많이 소개해드리고...할께요 좋은 물건 나올때 또 연락주세요 번호는 제가 따로 전화드릴께요	5점
1038	시골두루치기	최고예요	5점
1039	시몽	계양구에서 네일좀 한다는데 가봐는데 여기가 제일  잘하는것 같아요 사용하는 제품도 괜찮구요	5점
1040	시사중국어학원	여기 중국어전문학원맞나요?? 무슨원장이라는사람이 교차수업이라는말을 몰라요?? 학원 커리큘럼에대해서 질문하는데 오히려 저한테 질문하는건 무슨 상황인거죠??? 여기선생님들자질이의심그럽네요.. 아님 그냥 원장이라는분만그런건지.. 중국어좀 배워볼까 했는데 이원장때문에 맘이 사그러지네요	1점
1041	시엘	"다른 데로 가세요 ㅠ 자꾸 추가 연수 20만원짜리 권함,,, 가면 바보!"	1점
1042	시장피자	좋아요	4점
1043	신나라유선	또 가고 싶네요 ~~  배낚시 너무 재밌었어요!!	5점
1044	신마포갈매기	채소 신선도가 떨어짐..	1점
1045	신선지어깨동무팬션	사장님이 바꼈어요  넘 깨끗해지고 친절하고 좋았어요 풋고추도 따주시고  앵두도 따먹고 보리수열매도 따먹고 수영도하고  넘좋았어요	3점
1046	신세계푸드인천공항버스터미널	최고예요	5점
1047	신아리랑집	젓국갈비는 국물에 후추맛이 조금 강합니다ㅠㅠ 그냥 고기랑 밥이랑 같이 먹었어요 다른 가게에 비해 저렴한 편이라 이 점은 괜찮았습니다! 간이 센 편이라 참고하고 가세요ㅠㅠ	2점
1048	신앙촌상회	맛있는 간장~ 잘 먹겟습니다!!	5점
1049	신의주찹쌀순대	맛나게 잘 먹고 갑니다. 드시면 후회 안한다에 한 표 던집니다.	5점
1050	신의직장	메뉴 하나당 20분은 기다려야함 맛도 좋은 편은 아님	1점
1051	신인천얼음	정수된 얼음이라 믿음이가요	5점
1052	신창인력	일하는 사람이 성실해요	5점
1053	신한공인중개사사무소	물건도 많고 사장님 너무 좋으세요~ 번창 하세요~	5점
1054	신현대공인중개사사무소	세입자가 있는 상태에서 집을 매매하고자 할 경우 주인은 반드시 세입자에게 이사를 나가줄 수 있는지에 대한 협의를 중개 안한 상태에서 부동산이 뭘 모른다며 핀잔을 주며 나가라고 이사짐센터를 소개해주고 불친절하게 일을 진행함	1점
1055	싱싱꽃게랑아구전문점	보통이에요	3점
1056	싸이노래연습장	노래방 한 호실마다 규모가 큼.대형 소파 및 테이블이 있다.	5점
1057	써클모텔	깔끔하고 직원분들이 굉장히 친절하세요~	5점
1058	쎄븐텔레콤	친절하고 저렴하긴 ㅋㅋㅋㅋ 상담하러 가면 안살꺼 왜 들어왔냐는듯이 응대한다.. 백번 얘길하면 뭐하나 직접 체험들 하셔라 ㅋㅋㅋ	1점
1059	씨식당	절대 알려지면 안되는집.... 소문나서는 안되는집.... 나만 갈거에욧 ㅎㅎ	5점
1060	씨씨존	"엊그제 소상공인 공사 일 때문에 잠시 들렀던 곳.  근데 치킨 양념과 치킨 후라이드를 시켰는데 맛이 정말 부드럽고 짱인듯 특히 여기 올려진 감자맛은 정말 일품입니다. 둥근 감자칩, 부드럽과 감질납니다.ㅋㅋ 사장님 엄청 친절하세요"	5점
1061	씨유인천주안	엄청 친절하심!!	5점
1062	씨지브이주안	보통이에요	3점
1063	아띠	좋습니다^^	5점
1064	아로이아로이	맛도 양도 구리다	2점
1065	아미드팜헤어살롱	편안하게 잘 해줘서 좋았음 ㅋ	5점
1066	아미바다팬션	"방이 너무 예쁘고 사장님이 친절하게 잘 대해 주셨어요.  낙조도 너무 예쁘게 떨어지고, 추운날 따뜻하게 잘 지내다가 갑니다. 감사합니다. 또 올게요.^^"	5점
1067	아이봄센터	www.ibomi2.net	5점
1068	아이스마일어게인	아이폰 완전박살나서 혹시나하고 들고가봤는데 헐.... 시간이 좀 걸린다고해서 2주정도 생각했는데 2일만에 새것이되어옴 ㅋㅋㅋㅋ 신의손 ㅋㅋㅋ 최고입니다 ㅋㅋㅋ	5점
1069	아이폰수리점	엄청 친절해서 영등포사는데 항상 여기와요. 귀얇은편이라 항상 덤탱이쓰는데 여기선 항상 후회 ㄴㄴ 	5점
1070	아이플렉스한증막사우나	"평이 안좋아서 걱정했는데 딱히 불친절하다는 인상은 못받았네요 ㅎ 지금은 와이파이도있고 일단 탕이 넓고 온수폭포? 그런것도 있고 ㅋ 그리고 탕 주변에 비치체어가있어서 탕에 들어갔다가 좀 누워도 되고 좋음 ㅋ 세신하는이모도 세분? 정도 본듯 넓고 좋아요, 찜질방도 다양하네요 좋음 ㅎ"	5점
1071	아주오토렌탈	별로예요	1점
1072	아트프로	"여러글 필요없어요~~~ 직접가보세요~ 두달만에 합격,,분위기도 좋고 거기에다 학원생들 실습으로 미용실도 함께운영,,그래서 더 좋아요~가발에실습하는게 아니고 직접사람 머리에..연습~ 취업도 다 알선해주고,,쨩입"	5점
1073	안동잔치국수	별로예요	1점
1074	안동찜닭	눈꽃치즈 안동찜닭이랑 낙지볶음닭 먹었는데 진짜 맛있어요!! 제가 찜닭러버인데 여기가 최근에 먹은 곳 중에 제일 맛있었어요ㅠㅠㅠㅠ 김치랑 동치미도 존맛탱입니다 다음에 또 갈겁니다	5점
1075	알에프플라워샵	요즘 젊은 사람들이 하는 가게도 많은데 남자사장님 꽃 너무 예쁘게 잘하시는 것 같아요 다음에 또 꼭 갈게요~~~!	5점
1076	야다이	"맛, 가격, 친절도 모두 불만족"	1점
1077	양사우체국	서울서 이사와서 강화우체국 처음인데 서울서는 느끼지못한 이 따뜻한 친절함^^ 넘 감사합니다 직원분 조윤형 선생님 진짜 친절!! 감동했습니다~~	5점
1078	양지식당	보통이에요	3점
1079	양평칼국수전문점	들깨칼국수 흔하지 않아서 맛있어요. 고소해요.	4점
1080	어다리횟집	이것저것 여러가지 시켜먹구 팁도줬는데.. 나중에 확인하니 메뉴중하나가 분명 38000원짜리를 시켰는데  48000원짜리로 마음대로 바꾸어 넣어놨네요 호갱님 당할줄이야 ㅡㅡ	1점
1081	어부집	손님한테 관심이 너무 없으시고 기본 세팅까지 30분 걸렸지만 분위기+고양이 때문에 솔직히 재방문의사있음 맛은 쏘쏘 	3점
1082	어진내감자탕	우리가족 15년 단골집 말이 필요 없습니다 드셔보세요	5점
1083	엄진선탁구클럽	구장도 넓고  탁구머신를 비롯하여 탁구대도 많고 회원도 많습니다. 무엇보다 관장님이 실력도 좋으시고 성품이 좋으셔서 탁구장 가는 즐거움이 배가 됩니다^^	5점
1084	엔젤스	제본제대로 할 줄 모르는듯	1점
1085	엘르에스테틱	제가 숙여서 하는일이다보니 어깨가 많이 뭉쳐잇고 허리도 많이 안좋앗는데엘르에스테틱에서 등관리 받고 나서 엄청 가벼워져서 왓어요ㅎㅎ아주 친절하고 상세하게 설명해줘서 기분좋앗습니당~♡	5점
1086	엘림몬테소리어린이집	테라스 정원이 있어 친환경 시설과 몬테소리 교육을 통한 최고의 보육을 하고 있는 어린이집^^^	5점
1087	엘지공인중개사사무소	"잘허내용,, "	5점
1088	엠씨엠	살때는 친절 교환할때는 불친절ㅎ	1점
1089	여수명가	맛은 별로고 친절하지 않고 말투가 좋지 않음	1점
1090	연수사골순대국	돼지특유의 냄새가 전혀 없이 정말 맛있습니다. 강추!! 강추!! 최고입니다!!!	5점
1091	연어와참치	신선도 좋고 가격 적당하고 다른분 모시고 가도 괜찮을 정도.	5점
1092	연이네옷	최악     돈이  너무  아깝습니다 저같은  사람없길  바랍니다	1점
1093	연출시대	가성비 굳 여성커트 7처넌	5점
1094	열린공인중개사	사장님이 너~무 친절하게 상담해주시고 내일처럼 일처리 해주셔서 정말 좋았어요 ㅠㅠ감동받았어요!! 번창하시고 완전 대박나세욧~~~~~~ 	5점
1095	열쇠	열쇠 복사 3개 했는데 하나도 안맞고 안맞는다 했더니 직접 보지도 않으시고 그냥 가게 다시 와보라고 하셔서 갔더니 환불해주겠다고 가라 하시네요 별 1개도 아까워요	1점
1096	영진각	먹을만함 배달빠른편 한개시켜도뭐라안함  24시임 바삭바삭한탕수육	3점
1097	예성강회집	최고 !	5점
